position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.451289,0.441098,-0.905239,0.913595,-1.221222,1.217414,-0.912921,0.901428,-0.441788,0.449367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.432237,0.422463,-0.871471,0.879815,-1.218186,1.213948,-0.943762,0.932382,-0.461757,0.469278,-0.026232,0.026165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.414749,0.405913,-0.83728,0.844971,-1.210907,1.206494,-0.973293,0.962484,-0.484728,0.491419,-0.060366,0.06021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.401872,0.393996,-0.811476,0.818491,-1.203031,1.19854,-0.994634,0.984567,-0.503749,0.509409,-0.089828,0.089632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.383984,0.377456,-0.776867,0.782476,-1.189286,1.185178,-1.022218,1.013035,-0.530959,0.535092,-0.132098,0.13216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.364116,0.35933,-0.742356,0.746321,-1.172808,1.168693,-1.048057,1.040578,-0.560623,0.562883,-0.176511,0.176445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.341054,0.337762,-0.708049,0.710423,-1.153569,1.149864,-1.07298,1.066928,-0.591944,0.592277,-0.220203,0.220157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.320892,0.31875,-0.682691,0.683816,-1.137828,1.134415,-1.090949,1.085942,-0.616415,0.615344,-0.251135,0.251345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.289185,0.288288,-0.649409,0.649164,-1.115305,1.112285,-1.113937,1.109992,-0.650035,0.647321,-0.288287,0.288895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.251538,0.251435,-0.617199,0.61583,-1.091695,1.089091,-1.135928,1.132743,-0.684658,0.680624,-0.31926,0.320371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
