position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
280,0,0,0,0,0,0,0,0,0,0,0,0,-2.77849,-2.786372,0.129313,0.143942,-0.712004,-0.702799,-1.638239,-1.651949,-0.876709,-0.881882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,-2.682528,-2.689855,-0.021821,-0.008145,-0.605906,-0.596624,-1.55816,-1.571056,-1.051603,-1.05614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0,-2.580748,-2.587769,-0.168907,-0.156244,-0.517156,-0.507905,-1.496302,-1.508006,-1.182106,-1.186026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0,-2.414872,-2.421855,-0.393069,-0.381998,-0.396694,-0.387855,-1.413877,-1.423106,-1.348812,-1.351636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,-2.229182,-2.236263,-0.63033,-0.621153,-0.283404,-0.275255,-1.333443,-1.339944,-1.500618,-1.502327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,-2.039638,-2.046992,-0.859608,-0.85241,-0.187222,-0.179887,-1.257705,-1.261318,-1.630635,-1.63133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,-1.90495,-1.91252,-1.014055,-1.008232,-0.132248,-0.125497,-1.205437,-1.206941,-1.709708,-1.709758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,-1.748848,-1.756708,-1.179799,-1.175601,-0.089401,-0.083367,-1.144838,-1.143915,-1.786765,-1.786152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,-1.637507,-1.645668,-1.291077,-1.288242,-0.074262,-0.068862,-1.066587,-1.063925,-1.801572,-1.800584,-0.111057,-0.111228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0,-1.560599,-1.569044,-1.352794,-1.350898,-0.092168,-0.087377,-0.988032,-0.984181,-1.776178,-1.775034,-0.256116,-0.256534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0,-1.51891,-1.527383,-1.374059,-1.372741,-0.124191,-0.119575,-0.928528,-0.924113,-1.736325,-1.735195,-0.38165,-0.382235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,-1.474893,-1.483417,-1.378589,-1.377751,-0.186939,-0.182577,-0.848473,-0.843469,-1.663923,-1.662975,-0.564453,-0.565233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,-1.433524,-1.441969,-1.367076,-1.366619,-0.26779,-0.263574,-0.766848,-0.761672,-1.577904,-1.57723,-0.756246,-0.757207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,-1.382902,-1.39107,-1.351573,-1.35149,-0.361653,-0.357486,-0.683289,-0.678105,-1.487643,-1.487329,-0.947593,-0.948679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,-1.331648,-1.339512,-1.344643,-1.344796,-0.437388,-0.433232,-0.619077,-0.613991,-1.422803,-1.422705,-1.085178,-1.086229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,-1.236112,-1.24336,-1.351371,-1.351949,-0.541695,-0.537531,-0.531065,-0.526077,-1.347258,-1.347449,-1.252791,-1.253744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,-1.102356,-1.10874,-1.384074,-1.385169,-0.645802,-0.641593,-0.440874,-0.436007,-1.290315,-1.290662,-1.395191,-1.395883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,-0.937682,-0.943109,-1.437906,-1.439687,-0.747449,-0.743315,-0.352544,-0.347735,-1.249827,-1.250287,-1.5116,-1.511999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,-0.800853,-0.805546,-1.487412,-1.489809,-0.820779,-0.816672,-0.289989,-0.285296,-1.227859,-1.228425,-1.58268,-1.58266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,-0.610026,-0.613538,-1.559466,-1.562497,-0.913017,-0.909003,-0.215519,-0.210879,-1.206862,-1.20754,-1.657329,-1.656941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,-0.420239,-0.422693,-1.631148,-1.634815,-0.996833,-0.992977,-0.154797,-0.150307,-1.192099,-1.192808,-1.710866,-1.709975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0,-0.24328,-0.244701,-1.694702,-1.698845,-1.069744,-1.066079,-0.111992,-0.107618,-1.180227,-1.180993,-1.745672,-1.744314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0,-0.126047,-0.126773,-1.732437,-1.736784,-1.115881,-1.112365,-0.093994,-0.089688,-1.171095,-1.171842,-1.760842,-1.759124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.763412,-1.767806,-1.163395,-1.160152,-0.091134,-0.086953,-1.157097,-1.157842,-1.770514,-1.768376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.755524,-1.759602,-1.177958,-1.175068,-0.091087,-0.087033,-1.110321,-1.111026,-1.747412,-1.744857,-0.11542,-0.115164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73204,-1.735723,-1.192294,-1.189784,-0.115707,-0.111879,-1.046075,-1.046665,-1.7046,-1.701915,-0.263362,-0.262628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.703454,-1.706658,-1.20432,-1.202218,-0.148261,-0.144533,-0.988252,-0.988736,-1.662836,-1.660016,-0.390362,-0.389298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.647249,-1.649785,-1.222494,-1.220806,-0.208424,-0.204885,-0.90148,-0.901878,-1.598298,-1.595357,-0.573536,-0.571926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.569819,-1.571568,-1.245396,-1.244,-0.284283,-0.280972,-0.806225,-0.806521,-1.528185,-1.525389,-0.764275,-0.762171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.469961,-1.470998,-1.275198,-1.274272,-0.372051,-0.368892,-0.705611,-0.70581,-1.457953,-1.455369,-0.95355,-0.950901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.379865,-1.380301,-1.303555,-1.30298,-0.44333,-0.440088,-0.628292,-0.628621,-1.408003,-1.40591,-1.088952,-1.086221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.238193,-1.238252,-1.351163,-1.350652,-0.543022,-0.540271,-0.525425,-0.525562,-1.349342,-1.34774,-1.253731,-1.250296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
